paso,desempeno_acoplado,desempeno_acoplado_de,desempeno_desacoplado,desempeno_desacoplado_de
0,1.0,0.0,1.0,0.0
1,1.0,0.0,1.0,0.0
2,1.0,0.0,1.0,0.0
3,1.0,0.0,1.0,0.0
4,1.0,0.0,1.0,0.0
5,1.0,0.0,1.0,0.0
6,1.0,0.0,1.0,0.0
7,1.0,0.0,1.0,0.0
8,1.0,0.0,1.0,0.0
9,1.0,0.0,1.0,0.0
10,1.0,0.0,1.0,0.0
11,1.0,0.0,1.0,0.0
12,1.0,0.0,1.0,0.0
13,1.0,0.0,1.0,0.0
14,1.0,0.0,1.0,0.0
15,1.0,0.0,1.0,0.0
16,1.0,0.0,1.0,0.0
17,1.0,0.0,1.0,0.0
18,1.0,0.0,1.0,0.0
19,1.0,0.0,1.0,0.0
20,1.0,0.0,1.0,0.0
21,1.0,0.0,1.0,0.0
22,1.0,0.0,1.0,0.0
23,1.0,0.0,1.0,0.0
24,1.0,0.0,1.0,0.0
25,1.0,0.0,1.0,0.0
26,1.0,0.0,1.0,0.0
27,1.0,0.0,1.0,0.0
28,1.0,0.0,1.0,0.0
29,1.0,0.0,1.0,0.0
30,0.9991788025889967,0.002723928125621568,1.0,0.0
31,1.0,0.0,1.0,0.0
32,1.0,0.0,1.0,0.0
33,0.9995748299319728,0.0020390440150139136,1.0,0.0
34,0.9995791245791246,0.0020184476108218424,1.0,0.0
35,0.9995659722222222,0.0020815240986600276,1.0,0.0
36,0.9991038390379279,0.0029724171025527616,1.0,0.0
37,0.9991151685393259,0.00294007117893798,1.0,0.0
38,1.0,0.0,1.0,0.0
39,0.9987451127340523,0.0033271888701594827,1.0,0.0
40,0.999591503267974,0.001959081504621203,1.0,0.0
41,0.9984290737278158,0.0035158471293836664,1.0,0.0
42,0.9982431754121781,0.003931793288758827,1.0,0.0
43,0.9996105919003115,0.0018675356399192827,1.0,0.0
44,0.9979055838758071,0.004919534606486021,1.0,0.0
45,0.9995791245791246,0.002018447610821843,1.0,0.0
46,0.9974159986658669,0.004483234519483429,1.0,0.0
47,0.9975330276805386,0.0050848987600819314,1.0,0.0
48,0.9953911989258266,0.0064320833590351765,1.0,0.0
49,0.9982244483089374,0.005027007586827533,1.0,0.0
50,0.9949724678535475,0.006996415967162443,1.0,0.0
51,0.9950844726163067,0.007466002404849871,1.0,0.0
52,0.9958025398915606,0.005808236081178686,1.0,0.0
53,0.99764161520707,0.004768786614577328,1.0,0.0
54,0.9937489233648246,0.007595651775035844,1.0,0.0
55,0.9944707129542714,0.0077120484105949174,1.0,0.0
56,0.9946306422002124,0.006362771763971732,1.0,0.0
57,0.9908038555395046,0.008218925192855461,1.0,0.0
58,0.9954339409643183,0.0069857326319452415,1.0,0.0
59,0.9959006678948884,0.0063925097015441685,1.0,0.0
60,0.9948496656091672,0.007730479717792423,1.0,0.0
61,0.996264840001504,0.006190173177997069,1.0,0.0
62,0.9971343757138476,0.005250192618303016,1.0,0.0
63,0.996192376805896,0.005809661288169215,1.0,0.0
64,0.9956869434509553,0.00578921038433557,1.0,0.0
