tier,N,t_densa_ms,t_quimica_ms,tiempo_formateado,flops,spikes,potencia_w,eventos_sinapticos,energia_silicio_J,energia_carbono_J,energia_por_evento_silicio_J,energia_por_evento_carbono_J,brecha_eficiencia
CPU,100,1.1551020434126258,19.127230974845588,19.1 ms,1633040,2826,100.0,28260,1.9127230974845588,4.6679e-06,6.768305369725969e-05,1.6517692852087755e-10,409760.941212228
CPU,500,7.878098986111581,33.990140073001385,34.0 ms,11380000,19300,100.0,965000,3.3990140073001385,3.1870000000000005e-05,3.522294308083045e-06,3.30259067357513e-11,106652.46336053146
CPU,1000,49.461364978924394,78.73882807325572,78.7 ms,26476000,44750,100.0,4475000,7.873882807325572,7.38875e-05,1.7595268843185635e-06,1.651117318435754e-11,106565.83058468039
CPU,2000,331.74488798249513,120.16393197700381,120.2 ms,53643936,92281,100.0,18456200,12.016393197700381,0.00015236365,6.510762344198904e-07,8.25541823343917e-12,78866.53540854646
CPU,4000,899.5098280720413,207.6723970239982,207.7 ms,107535136,185606,100.0,74242400,20.76723970239982,0.0003064499,2.797220954926002e-07,4.1276938784306544e-12,67767.16096954126
CPU,8000,8743.795066024177,397.8100969688967,397.8 ms,213100320,363595,100.0,290876000,39.78100969688967,0.00060033175,1.3676277759901014e-07,2.0638751564240433e-12,66265.04378102552
SingleGPU:cuda:0,50000,,707.4535030405968,707.5 ms,1315442336,2208681,66.77799999999999,11043405000,47.24233002604497,0.00364682365,4.277877160716733e-09,3.3022637945452514e-13,12954.377441871906
SingleGPU:cuda:0,100000,,692.9853489855304,693.0 ms,2630087200,4414325,75.301,44143250000,52.18248976395943,0.00728863625,1.182117079371352e-09,1.6511326760036926e-13,7159.4311986634575
SingleGPU:cuda:0,250000,,849.0217690123245,849.0 ms,6575283104,11036184,91.184,275904600000,77.4172009856198,0.0182222036,2.805940929785868e-10,6.604530551502222e-14,4248.509273906906
SingleGPU:cuda:0,500000,,1210.6396830640733,1.21 s,13146603552,22056967,122.327,1102848350000,148.0939205101789,0.03641899555,1.342831228882728e-10,3.3022668574514347e-14,4066.3922294852773
SingleGPU:cuda:0,1000000,,1217.0947570120916,1.22 s,19214060832,32922194,138.98399999999998,3292219400000,169.15669770856852,0.054371620100000004,5.1380748715765575e-11,1.6515187323177794e-14,3111.121158381089
SingleGPU:cuda:0,2000000,,1952.772220945917,1.95 s,38418165024,65766758,158.788,13153351600000,310.0767954195603,0.10861515070000001,2.3573976036614145e-11,8.257602625022204e-15,2854.820836883121
SingleGPU:cuda:0,4000000,,3865.841271937825,3.87 s,76852547488,131660371,180.71200000000002,52664148400000,698.6039079344282,0.21743961215000002,1.3265265444497878e-11,4.128797649939784e-15,3212.8640270591472
SingleGPU:cuda:0,6000000,,6231.5101369749755,6.23 s,115277144352,197477534,183.58700000000002,118486520400000,1144.024251516825,0.32613793110000006,9.655311402973945e-12,2.7525319335818733e-15,3507.792692675313
MultiGPU:cuda:0+cuda:1,8000000,,64822.964568971656,1m 4s,201562136156,433840937,153.874,347072749600000,9974.568850085945,0.71623754605,2.8739129942012436e-11,2.0636524961278607e-15,13926.341763420523
MultiGPU:cuda:0+cuda:1,10000000,,82393.67537107319,1m 22s,251938378540,542225205,154.89000000000001,542225205000000,12761.956378225526,0.89517158825,2.353626548626696e-11,1.6509221260749027e-15,14256.43591210741
MultiGPU:cuda:0+cuda:1,12000000,,100158.41956902295,1m 40s,302283787044,650445463,158.115,780534555600000,15836.548510156064,1.07383501395,2.0289362458760648e-11,1.375768703955123e-15,14747.655183921437
Hibrido:cuda:0+cuda:1+CPU,14000000,,563735.4522689711,9m 23s,372819287376,782784747,222.89499999999998,1095898645800000,125653.8136334923,1.29229483255,1.1465824336498354e-10,1.1792101737717105e-15,97233.0852593041
Hibrido:cuda:0+cuda:1+CPU,16000000,,673731.7958680214,11m 13s,422519217392,877495949,224.589,1403993518400000,151312.75030220306,1.44866831585,1.0777311171253842e-10,1.0318198032003108e-15,104449.5476615853
