N,Tiempo_Quimica_ms,FLOPs_Quimica,Energia_Silicio_J,Energia_Carbono_Sinaptica_J,Energia_Carbono_ATP_J,Eventos_Sinapticos,Energia_Por_Evento_Sinaptico_Silicio_J,Energia_Por_Evento_Sinaptico_Carbono_J,Spikes_Totales
100,476.0189129738137,5290942.0,119.00472824345343,7.197350000000001e-06,7.197350000000001e-06,43590.0,0.002730092412100331,1.6511470520761645e-10,4359.0
500,376.3045370578766,32773082.0,94.07613426446915,0.0001358563,0.0001358563,4116100.0,2.2855648372116603e-05,3.3006073710551254e-11,82322.0
1000,361.8646750692278,87699584.0,90.46616876730695,0.0003250934,0.0003250934,19699600.0,4.592284552341518e-06,1.6502538122601475e-11,196996.0
2000,376.4820679789409,214781728.0,94.12051699473523,0.0006502363,0.0006502363,78804400.0,1.1943561145663849e-06,8.2512689646771e-12,394022.0
4000,381.9931249599904,429560544.0,95.4982812399976,0.001300466,0.001300466,315216000.0,3.0296140183238664e-07,4.125634485559108e-12,788040.0
8000,399.8883330496028,859102016.0,99.9720832624007,0.00260092705,0.00260092705,1260861600.0,7.92887048526188e-08,2.0628172433834133e-12,1576077.0
16000,419.44760805927217,1718213760.0,104.86190201481804,0.00520181615,0.00520181615,5043409600.0,2.0791867076356052e-08,1.0314086228491139e-12,3152131.0
32000,459.0280120028183,3436415488.0,114.75700300070457,0.010403657049999999,0.010403657049999999,20173686400.0,5.688449831395445e-09,5.157043112358483e-13,6304277.0
64000,579.0171099361032,6872848384.0,144.7542774840258,0.0208073636,0.0208073636,80694937600.0,1.7938458320838431e-09,2.5785215552357027e-13,12608584.0
100000,744.2123519722372,10738903040.0,186.0530879930593,0.0325113035,0.0325113035,197007900000.0,9.443940471070414e-10,1.6502537969289554e-13,19700790.0
250000,1416.0610239487141,26846986240.0,354.01525598717853,0.08127876860000001,0.08127876860000001,1231307100000.0,2.8751174746509505e-10,6.601015181346717e-14,49252284.0
500000,2631.361398031004,53693767680.0,657.840349507751,0.1625562568,0.1625562568,4925189600000.0,1.3356650259875295e-10,3.3005075946720914e-14,98503792.0
1000000,5293.410314945504,107387912192.0,1323.352578736376,0.3251142296,0.3251142296,19700862400000.0,6.717231722487316e-11,1.6502537959962608e-14,197008624.0
2000000,10579.137833090499,214777135104.0,2644.7844582726248,0.6502252384,0.6502252384,78803059200000.0,3.356195159327805e-11,8.251268986267986e-15,394015296.0
3000000,96177.55916400347,1.7841970457186245e+20,39432.79925724142,3.0491451360000004,3.0491451360000004,554362752000000.0,7.113176185625369e-11,5.500270580949855e-15,1847875840.0
4000000,346268.69049994275,461069221888.0,176597.0321549708,1.3004573408,1.3004573408,315213900800000.0,5.602450644047574e-10,4.125634489784532e-15,788034752.0
5000000,572994.8747931048,576339116032.0,292227.38614448346,1.6255811008,1.6255811008,492524576000000.0,5.933254915273172e-10,3.300507588884255e-15,985049152.0
